QuestionID,Question,Answer,Document
Q228,what kind of books does debbie macomber writes,"Debbie Macomber (born October 22, 1948 in Yakima, Washington ) is a best-selling American author of over 150 romance novels and contemporary women's fiction.",Debbie Macomber
Q229,what county is catonsville md in,"Catonsville is a census-designated place (CDP) in Baltimore County , Maryland , United States.","Catonsville, Maryland"
Q230,what kind of literature did john steinbeck writing,"As the author of twenty-seven books, including sixteen novels, six non-fiction books, and five collections of short stories, Steinbeck received the Nobel Prize for Literature in 1962.",John Steinbeck
Q231,whatever happened clint walker,"Norman Eugene Walker, known as Clint Walker (born May 30, 1927), is a retired American actor .",Clint Walker
Q232,what does the family leave act,The Family and Medical Leave Act of 1993 (FMLA) is a United States federal law requiring covered employers to provide employees job-protected and unpaid leave for qualified medical and family reasons.,Family and Medical Leave Act of 1993
Q233,what does the family leave act,"Qualified medical and family reasons include: personal or family illness, family military leave, pregnancy , adoption , or the foster care placement of a child.",Family and Medical Leave Act of 1993
Q234,how did the vietnam war end,"The capture of Saigon by the Vietnam People's Army in April 1975 marked the end of the war, and North and South Vietnam were reunified the following year.",Vietnam War
Q235,How is the pothole formed,"A pothole (sometimes called a kettle and known in parts of the Western United States as a chuckhole) is a type of disruption in the surface of a roadway where a portion of the road material has broken away, leaving a hole.",Pothole
Q236,how much more time does chemo give to people with renal cancer,"Where the tumor is confined to the renal parenchyma, the 5-year survival rate is 60-70%, but this is lowered considerably where metastases have spread.",Renal cell carcinoma
Q237,what does estee lauder do,"Estée Lauder Companies, Inc. is a manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products.",EstÃ©e Lauder Companies
Q238,how does a solid state drive work,It uses an external power supply to make the DRAM non-volatile.,Solid-state drive
Q239,how does a solid state drive work,"A solid-state drive (SSD) (also known as a solid-state disk or electronic disk, though it contains no actual ""disk"" of any kind) is a data storage device using integrated circuit assemblies as memory to store data persistently .",Solid-state drive
Q240,how long did the roman empire last,"The 500-year-old Roman Republic , which preceded it, had been destabilized through a series of civil wars .",Roman Empire
Q241,how much does U.S. pay on health care per person,"In 2006, per-capita spending for health care in Canada was US$3,678; in the U.S., US$6,714.",Comparison of the health care systems in Canada and the United States
Q242,what creates sonic boom,A sonic boom is the sound associated with the shock waves created by an object traveling through the air faster than the speed of sound.,Sonic boom
Q243,how is rfid tag powered,Some tags are powered and read at short ranges (a few meters) via magnetic fields ( electromagnetic induction ).,Radio-frequency identification
Q244,how is rfid tag powered,"Others use a local power source such as a battery, or else have no battery but collect energy from the interrogating EM field, and then act as a passive transponder to emit microwaves or UHF radio waves (i.e., electromagnetic radiation at high frequencies).",Radio-frequency identification
Q245,how is rfid tag powered,Battery powered tags may operate at hundreds of meters.,Radio-frequency identification
Q246,what city is oregon state university in,"Oregon State University (OSU) is a coeducational , public research university located in Corvallis , Oregon , United States .",Oregon State University
Q247,how long have kanab ambersnail been endangered?,It has been listed as endangered on the United States Fish and Wildlife Service list of endangered species since 8 August 1991.,Kanab ambersnail
Q248,how many spanish speaking people are there in the us,"According to the 2010 American Community Survey conducted by the U.S. Census Bureau , Spanish is the primary language spoken at home by almost 37 million people aged five or older, a figure more than double that of 1990.",Spanish language in the United States
Q249,what does (sic) mean?,"is a Latin word that means ""thus"" or, in writing, ""it was thus in the source material"".",Sic
Q250,how does sedimentary rock form,Sedimentary rocks are types of rock that are formed by the deposition of material at the Earth 's surface and within bodies of water.,Sedimentary rock
Q251,how many bones are in the skeletal system is composed of 306 bones,"Humans are born with over 270 bones, some of which fuse together into a longitudinal axis, the axial skeleton , to which the appendicular skeleton is attached.",Human skeleton
Q252,what did st.patrick do,"He is generally credited with being the first bishop of Armagh , Primate of All Ireland .",Saint Patrick
Q253,how do you know if something is the golden ratio,"In mathematics and the arts , two quantities are in the golden ratio if the ratio of the sum of the quantities to the larger quantity is equal to the ratio of the larger quantity to the smaller one.",Golden ratio
Q254,What county is NOrth Myrtle Beach in SC,"North Myrtle Beach is a coastal resort city in Horry County , South Carolina , United States .","North Myrtle Beach, South Carolina"
Q255,how much of our universe does plasma make up,"In the universe , plasma is the most common state of matter for ordinary matter , most of which is in the rarefied intergalactic plasma (particularly intracluster medium ) and in stars.",Plasma (physics)
Q256,How is a computer used?,A computer is a general purpose device that can be programmed to carry out a finite set of arithmetic or logical operations.,Computer
Q257,what does barefoot and pregnant mean,"""Barefoot and pregnant"" is a phrase most commonly associated with the controversial idea that women should not work outside the home and should have many children during their reproductive years.",Barefoot and pregnant
Q258,"what county is oakhurst, nj in","Oakhurst is a census-designated place and unincorporated community within Ocean Township , in Monmouth County , New Jersey , United States.","Oakhurst, New Jersey"
Q259,What did Lawrence Joshua Chamberlain do?,"Joshua Lawrence Chamberlain (September 8, 1828 – February 24, 1914), born as Lawrence Joshua Chamberlain, was an American college professor from the State of Maine , who volunteered during the American Civil War to join the Union Army .",Joshua Chamberlain
Q260,what circuit court is maryland,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,Maryland Circuit Courts
Q261,what causes a deficiency in adenosine deaminase,"Adenosine deaminase deficiency, also called ADA deficiency or ADA-SCID, is an autosomal recessive metabolic disorder that causes immunodeficiency .",Adenosine deaminase deficiency
Q262,how often does ham station need to ID?,"Station identification used to be done regularly by an announcer at the halfway point during the presentation of a television program, or in between programs.",Station identification
Q263,how is human height measured,"Human height is the distance from the bottom of the feet to the top of the head in a human body , standing erect.",Human height
Q264,how many days are in a leap year,"For example, in the Gregorian calendar (a common solar calendar), February in a leap year has 29 days instead of the usual 28, so the year lasts 366 days instead of the usual 365.",Leap year
Q265,what does a timing belt do,"Timing belt (camshaft) , a toothed belt used to drive the camshaft(s) within an internal combustion engine",Timing belt
Q266,what county is bethlehem pa in,"Bethlehem is a city in Lehigh and Northampton Counties in the Lehigh Valley region of eastern Pennsylvania , in the United States.","Bethlehem, Pennsylvania"
Q267,what countries legalize marijuana,"Furthermore, possession is legal or effectively legal in the Netherlands , North Korea and would be in the U.S. states of Colorado and Washington if it were not for federal law, which governs persons in all states.",Legality of cannabis
Q268,how many albums has dmx sold to this date,"DMX has sold over 30 million records worldwide, making him one of the best-selling hip-hop artists of all time.",DMX (rapper)
Q269,what channel is shopnbc on,"ShopNBC is an American broadcast and cable home shopping network, owned and operated by ValueVision Media , which is in turn 30% owned by GE Equity and NBC Universal .",ShopNBC
Q270,how post and lintels are used,"Post and lintel, ""prop and lintel"" or ""trabeated"" is a simple construction method using a lintel , header, or architrave as the horizontal member over a building void supported at its ends by two vertical columns , , or .",Post and lintel
Q271,what do mucous membranes secrete,"The sticky, thick fluid secreted by the mucous membranes and glands is termed mucus .",Mucous membrane
Q272,what company is cricket wireless by,"The company is a subsidiary of Leap Wireless , utilizing its CDMA 1X, 1xEV-DO and LTE networks.",Cricket Wireless
Q273,how many numbers on a credit card,"An ISO/IEC 7812 card number is typically 16 digits in length, and consists of:",Bank card number
Q274,what county is Cambria WI in,"Cambria is a village in Columbia County , Wisconsin , United States .","Cambria, Wisconsin"
Q275,how is public policy created,Public policy is the principled guide to action taken by the administrative executive branches of the state with regard to a class of issues in a manner consistent with law and institutional customs .,Public policy
Q276,how many wives did henry the 8th have,"Besides his six marriages, Henry VIII is known for his role in the separation of the Church of England from the Roman Catholic Church.",Henry VIII of England
Q277,what country are bongo drums from?,Bongos (Spanish: bongó) are an Afro-Cuban percussion instrument .,Bongo drum
Q278,how many books in bible,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.,Books of the Bible
Q279,HOW MANY STRIPES ARE ON THE AMERICAN FLAG,"The national flag of the United States of America , often simply referred to as the American flag, consists of thirteen equal horizontal stripes of red (top and bottom) alternating with white, with a blue rectangle in the canton (referred to specifically as the ""union"") bearing fifty small, white, five-pointed stars arranged in nine offset horizontal rows of six stars (top and bottom) alternating with rows of five stars.",Flag of the United States
Q280,HOW MANY STRIPES ARE ON THE AMERICAN FLAG,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,Flag of the United States
Q281,what do biologists do,A biologist is a scientist who studies living organisms and their relationship to their environment.,Biologist
Q282,what does base jumping stand for,"BASE jumping, also sometimes written as B.A.S.E. jumping, is an activity where participants jump from fixed objects and use a parachute to break their fall.",BASE jumping
Q283,what does base jumping stand for,"""BASE"" is an acronym that stands for four categories of fixed objects from which one can jump: buildings , antennas , spans ( bridges ), and earth ( cliffs ).",BASE jumping
Q284,What country is the largest stalagmite,"The largest stalagmite in the world is high and is located in the cave of Cueva Martin Infierno, Cuba.",Stalagmite
Q285,what does Gringo mean,"Gringo (, , ) is a slang Spanish and Portuguese word used in Ibero-America , to denote foreigners, often from the United States .",Gringo
Q286,what does Gringo mean,"The term can be applied to someone who is actually a foreigner, or it can denote a strong association or assimilation into foreign (particularly US) society and culture.",Gringo
Q287,what does hair testing show,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites .",Drug test
Q288,what does freedom of speech cover,Freedom of speech is the political right to communicate one's opinions and ideas using one's body and property to anyone who is willing to receive them.,Freedom of speech
Q289,what hormones produce thyroid,"The thyroid hormones, triiodothyronine (T3) and thyroxine (T4), are tyrosine -based hormones produced by the thyroid gland that are primarily responsible for regulation of metabolism.",Thyroid hormone
Q290,what does automatic paper feeder on printers mean,"In multifunction or all-in-one printers , fax machines , photocopiers and scanners , an automatic document feeder or ADF is a feature which takes several pages and feeds the paper one page at a time into a scanner or copier, allowing the user to scan , and thereby copy , print , or fax , multiple-page documents without having to manually replace each page.",Automatic Document Feeder
Q291,what county is san jose in?,"San Jose (; Spanish : St. Joseph ) is the third-largest city in California , the tenth-largest in the U.S., and the county seat of Santa Clara County which is located at the southern end of San Francisco Bay .","San Jose, California"
Q292,what cars have smart key systems,"It was first developed by Siemens in the mid-1990s and introduced by Mercedes-Benz under the name ""Keyless Go"" in 1998 on the W220 S-Class following its design patent filed by Daimler-Benz on May 17, 1997.",Smart key
Q293,how old a child pedophile crime,"As a medical diagnosis, pedophilia or paedophilia is a psychiatric disorder in persons 16 years of age or older typically characterized by a primary or exclusive sexual interest toward prepubescent children (generally age 11 years or younger, though specific diagnosis criteria for the disorder extends the cut-off point for prepubescence to age 13).",Pedophilia
Q294,how many people were killed in the holocaust,"Over one million Jewish children were killed in the Holocaust, as were approximately two million Jewish women and three million Jewish men.",The Holocaust
Q295,how did John F. Kennedy die?,"Kennedy was assassinated on November 22, 1963 in Dallas , Texas.",John F. Kennedy
Q296,how many members are in the house of representatives,The total number of voting representatives is fixed by law at 435.,United States House of Representatives
Q297,what can silk be used for,"Silk is a natural protein fibre , some forms of which can be woven into textiles .",Silk
Q298,what channel is letterman on,Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS .,Late Show with David Letterman
Q299,what does uncle sam represent to the american people,"Uncle Sam (initials U.S.) is a common national personification of the American government that, according to legend, came into use during the War of 1812 and was supposedly named for Samuel Wilson .",Uncle Sam
Q300,what does karma mean in buddhism,"Karma ( Sanskrit , also karman, Pāli : Kamma) means ""action"" or ""doing""; whatever one does, says, or thinks is a karma.",Karma in Buddhism
Q301,what does karma mean in buddhism,"In Buddhism , the term karma is used specifically for those actions which spring from the intention (Sanskrit: cetanā , Pali: cetana) of an unenlightened being.",Karma in Buddhism
Q302,what does karma mean in buddhism,"As one scholar states, ""the Buddhist theory of action and result (karmaphala) is fundamental to much of Buddhist doctrine, because it provides a coherent model of the functioning of the world and its beings, which in turn forms the doctrinal basis for the Buddhist explanations of the path of liberation from the world and its result, nirvāṇa .""",Karma in Buddhism
Q303,what do cyberstalkers do,"Cyberstalking is the use of the Internet or other electronic means to stalk or harass an individual, a group of individuals, or an organization.",Cyberstalking
Q304,how do insulin syringes work,"The plunger can be pulled and pushed along inside a cylindrical tube (called a barrel), allowing the syringe to take in and expel a liquid or gas through an at the open end of the tube.",Syringe
Q305,what kind a is tilapia,Tilapia ( ) is the common name for nearly a hundred species of cichlid fish from the tilapiine cichlid tribe .,Tilapia
Q306,how did david carradine die,"He died on June 3, 2009, apparently of auto-erotic asphyxiation .",David Carradine
Q307,how many grape farms in united states,"As of the last census of agriculture in 2007, there were 2.2 million farms, covering an area of , an average of per farm.",Agriculture in the United States
Q308,what freezes faster? hot or cold water?,"The Mpemba effect, named after Tanzanian student Erasto Mpemba , is the assertion that warmer water can freeze faster than colder water.",Mpemba effect
Q309,what causes a small bowel obstruction,"Bowel obstruction (or intestinal obstruction) is a mechanical or functional obstruction of the intestines, preventing the normal transit of the products of digestion.",Bowel obstruction
Q310,how many qfc stores are there,"Quality Food Centers (QFC) is a supermarket chain based in Bellevue, Washington , with 64 stores in the Puget Sound region of Washington state and in the Portland, Oregon metropolitan area.",QFC
Q311,what affects the money supply,"There is strong empirical evidence of a direct relation between money-supply growth and long-term price inflation, at least for rapid increases in the amount of money in the economy.",Money supply
Q312,how is today special?,Today's Special is a Canadian children's television show produced by Clive VanderBurgh at TVOntario from 1981 to 1987.,Today's Special
Q313,What Causes Brain Freeze,"It is caused by having something cold touch the roof of the mouth ( palate ), and is believed to result from a nerve response causing rapid constriction and swelling of blood vessels or a "" referring "" of pain from the roof of the mouth to the head.",Ice-cream headache
Q314,what does auld lang syne mean,"The song's Scots title may be translated into English literally as ""old long since"", or more idiomatically, ""long long ago"", ""days gone by"" or ""old times"".",Auld Lang Syne
Q315,what does leeroy jenkins mean,"Leeroy Jenkins, sometimes misspelled Leroy Jenkins and often elongated with numerous additional letters, is an Internet meme named for a player character created by Ben Schulz in Blizzard Entertainment 's MMORPG , World of Warcraft .",Leeroy Jenkins
Q316,how was the president involved in the gulf war,"U.S. President George H. W. Bush deployed U.S. forces into Saudi Arabia , and urged other countries to send their own forces to the scene.",Gulf War
Q317,how many times has a player hit for the cycle,"Cycles are uncommon in Major League Baseball (MLB), and have occurred 294 times since the first by Curry Foley in 1882.",Hitting for the cycle
Q318,how many times has a player hit for the cycle,"The cycle is roughly as common as a no-hitter (279 occurrences in MLB history); it has been called ""one of the rarest"" and ""most difficult feats"" in baseball.",Hitting for the cycle
Q319,how many episodes of Lost were there,"A total of 121 episodes of Lost were produced, the last of which aired on May 23, 2010.",List of Lost episodes
Q320,what does it mean if i'm flat footed?,"Flat feet (also called pes planus or fallen arches) is a formal reference to a medical condition in which the arch of the foot collapses, with the entire sole of the foot coming into complete or near-complete contact with the ground.",Flat feet
Q321,what age group is generation x,"Demographers, historians and commentators use beginning birth dates from the early 1960s to the early 1980s .",Generation X
Q322,how did James Dean die?,His premature death in a car crash cemented his legendary status.,James Dean
Q323,what glows in the dark,"Radioluminescence , production of luminescence in a material by the bombardment of ionizing radiation",Glow-in-the-dark
Q324,what did sparta do around 650 bc,"Around 650 BC, it rose to become the dominant military land-power in ancient Greece.",Sparta
Q325,what fantasy american football means,Fantasy football is an interactive competition in which users compete against each other as general managers of virtual teams.,Fantasy football (American)
Q326,how many muscles in the body,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.",List of muscles of the human body
Q327,how many muscles in the body,Examples range from 640 to 850.,List of muscles of the human body
Q328,how much does a gold bar weigh,The standard gold bar held as gold reserves by central banks and traded among bullion dealers is the 400-troy-ounce (12.4 kg or 438.9 ounces) Good Delivery gold bar.,Gold bar
Q329,how much does a gold bar weigh,"The kilobar, which is to say 1000 grams in mass, is the bar that is more manageable and is used extensively for trading and investment.",Gold bar
Q330,what county is bolingbrook il in?,Bolingbrook is a large village in Will and DuPage Counties in the U.S. state of Illinois .,"Bolingbrook, Illinois"
Q331,how many kids does archie manning have,"He is the father of current Denver Broncos quarterback Peyton Manning , current New York Giants starting quarterback Eli Manning , and former Ole Miss receiver Cooper Manning .",Archie Manning
Q332,what does an advocacy website promote?,"Advocacy is a political process by an individual or group which aims to influence public-policy and resource allocation decisions within political, economic, and social systems and institutions.",Advocacy
Q333,what does the green mean on the mexican flag,"Red, white, and green are the colors of the national liberation army in Mexico.",Flag of Mexico
Q334,how often do elk have sex,"Males also engage in ritualized mating behaviors during the rut , including posturing, antler wrestling (sparring), and bugling, a loud series of vocalizations which establishes dominance over other males and attracts females.",Elk
Q335,how many amendments in us,The Constitution has been amended seventeen additional times (for a total of twenty-seven amendments).,United States Constitution
Q336,what city is george washington university,"The George Washington University (GW, GWU, or George Washington) is a comprehensive private , coeducational research university located in Washington, D.C. .",George Washington University
Q337,How many Muslims live in the United Kingdom?,"Today it is the second largest religion in the country with results from the United Kingdom Census 2011 suggesting that by 2011 the total Muslim population had reached 2.7 million, 4.8% of the total population.",Islam in the United Kingdom
Q338,How many Muslims live in the United Kingdom?,"The vast majority of Muslims in the United Kingdom live in England and Wales : of 1,591,000 Muslims recorded at the 2001 Census, 1,536,015 were living in England and Wales , where they formed 3% of the population in 2001; 42,557 were living in Scotland , forming 0.84% of the population; and 1,943 were living in Northern Ireland .",Islam in the United Kingdom
Q339,how many players on a side for a football game,"It is played by two teams, eleven players to a side, who advance an oval ball over a rectangular field that is 120 yards long by 53.3 yards wide and has goalposts at both ends.",American football
Q340,what does the temporal lobe part of the brain do,"The temporal lobes are involved in the retention of visual memories , processing sensory input, comprehending language , storing new memories, emotion, and deriving meaning.",Temporal lobe
Q341,how many lungs does a human have,"Humans have two lungs , a right lung and a left lung.",Human lung
Q342,how long to take iwo jima,"The Battle of Iwo Jima (19 February – 26 March 1945), or Operation Detachment, was a major battle in which the United States Armed Forces fought for and captured the island of Iwo Jima from the Japanese Empire .",Battle of Iwo Jima
Q343,What a Margarita contains,"The margarita is a Mexican cocktail consisting of tequila mixed with Cointreau or similar orange -flavoured liqueur and lime or lemon juice , often served with salt on the glass rim.",Margarita
Q344,what color is burgundy,"Burgundy is a dark red color associated with the Burgundy wine of the same name, which in turn is named after the Burgundy region of France .",Burgundy (color)
Q345,what color is burgundy,The color burgundy is similar to other shades of dark red such as maroon .,Burgundy (color)
Q346,what is the population of center tx,"The population was 5,193 at the 2010 census.","Center, Texas"
Q347,what causes photo red eye,"It occurs when using a photographic flash very close to the camera lens (as with most compact cameras ), in ambient low light.",Red-eye effect
Q348,what creates a cloud,"In meteorology , a cloud is a visible mass of liquid droplets or frozen crystals made of water or various chemicals suspended in the atmosphere above the surface of a planetary body.",Cloud
Q349,how many students go to santa barbara,"The campus is the 6th-largest in the UC system by enrollment with 18,977 undergraduate and 2,950 graduate students.","University of California, Santa Barbara"
Q350,what day is the feast of st joseph's?,"Saint Joseph's Day, March 19, the Feast of St. Joseph is in Western Christianity the principal feast day of Saint Joseph , Spouse of the Blessed Virgin Mary .",Saint Joseph's Day
Q351,what culture is mariah carey,"Mariah Carey (born March 27, 1970) is an American singer , songwriter , record producer , actress , and philanthropist .",Mariah Carey
Q352,how was color introduced in film?,The first color cinematography was by means of additive color systems such as the one patented in England by Edward Raymond Turner in 1899 and tested in 1902.,Color motion picture film
Q353,how was color introduced in film?,A simplified additive system was developed by George Albert Smith and successfully commercialized in 1909 as Kinemacolor .,Color motion picture film
Q354,what artist have song with ashanti?,"Ashanti wrote and sang background on Jennifer Lopez 's "" Ain't It Funny (Murder Remix) "", which reached number one on Billboard Hot 100, which was also in the top 10 chart at the same time as ""Foolish"", ""Always on Time"" (with Ja Rule ), and ""What's Luv"" (with Fat Joe ).",Ashanti (entertainer)
Q355,what came first army or air force,"The AAF was a component of the United States Army , which in 1942 was divided functionally by executive order into three autonomous forces: the Army Ground Forces , the Services of Supply (which in 1943 became the Army Service Forces ), and the AAF.",United States Army Air Forces
Q356,what day is 2011 super bowl?,"The game was played on February 6, 2011, at Cowboys Stadium in Arlington, Texas , the first time the Super Bowl was played in the Dallas–Fort Worth area.",Super Bowl XLV
Q357,what does the FOIA apply to,The Freedom of Information Act (FOIA) is a federal freedom of information law that allows for the full or partial disclosure of previously unreleased information and documents controlled by the United States government .,Freedom of Information Act (United States)
Q358,how many countries are member of the eu?,The European Union (EU) is an economic and political union of 27 member states that are located primarily in Europe .,European Union
Q359,how many vehicles are registered in the us,"Overall, there were an estimated 254.4 million registered passenger vehicles in the United States according to a 2007 DOT study.",Passenger vehicles in the United States
Q360,what does a laboratory in a gynecologist office consist of,"A medical laboratory or clinical laboratory is a laboratory where tests are done on clinical specimens in order to get information about the health of a patient as pertaining to the diagnosis, treatment, and prevention of disease.",Medical laboratory
Q361,what cards do you need in poker to get a royal flush,"These hand rankings are also used in some other card games , and in poker dice .",List of poker hands
Q362,what does xylem transport,"Its basic function is to transport water, but it also transports some nutrients through the plant.",Xylem
Q363,how many mvps has kobe bryant won,"He has won the All-Star MVP Award four times ( 2002 , 2007 , 2009 , and 2011 ), tying him for the most All Star MVP Awards in NBA history.",Kobe Bryant
Q364,what do jehovah witnesses believe,"Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures .",Jehovah's Witnesses
Q365,what do jehovah witnesses believe,"They believe that the destruction of the present world system at Armageddon is imminent, and that the establishment of God's kingdom on earth is the only solution for all problems faced by mankind.",Jehovah's Witnesses
Q366,how old old is xp operating system,"Windows XP was released worldwide for retail sale on October 25, 2001, and over 400 million copies were in use in January 2006.",Windows XP
Q367,how many pawns in chess,"In chess, each player begins the game with eight pawns, one on each square of the rank immediately in front of the other pieces.",Pawn (chess)
Q368,what countries allow gays to openly serve in the military,"Nations that permit gay people to serve openly in the military include the 4 of the 5 members of the UN Security Council (United States, United Kingdom, France, and Russia), the Republic of China (Taiwan), Australia , Israel , South Africa , Argentina , and all NATO members excluding Turkey .",Sexual orientation and military service
Q369,How Works Diaphragm Pump,"A diaphragm pump (also known as a Membrane pump, Air Operated Double Diaphragm Pump (AODD) or Pneumatic Diaphragm Pump) is a positive displacement pump that uses a combination of the reciprocating action of a rubber , thermoplastic or teflon diaphragm and suitable valves either side of the diaphragm ( check valve , butterfly valves, flap valves, or any other form of shut-off valves) to pump a fluid .",Diaphragm pump
Q370,how is hydrogen produced,Currently the dominant technology for direct production is steam reforming from hydrocarbons .,Hydrogen production
Q371,how many percent is a basis point,1 basis point = 1 permyriad = one one-hundredth percent,Basis point
Q372,how many percent is a basis point,1 bp = 1 = 0.01% = 0.1‰ = 10−4 = = 0.0001,Basis point
Q373,how many percent is a basis point,"The relationship between percentage changes and basis points can be summarized as follows: 1 percentage point change = 100 basis points, and 0.01 percentage points = 1 basis point.",Basis point
Q374,what genre is bloody beetroots,"The Bloody Beetroots is the pseudonym of Sir Bob Cornelius Rifo, the Italian electro house and dance-punk music producer , DJ and photographer .",The Bloody Beetroots
Q375,what country is madrid spain in,"Madrid (, ) is the capital and largest city of Spain .",Madrid
Q376,What causes rogue waves,"Rogue waves seem not to have a single distinct cause, but occur where physical factors such as high winds and strong currents cause waves to merge to create a single exceptionally large wave.",Rogue wave
Q377,what happened to montgomery clift,"Later, after a disfiguring car crash in 1956, and alcohol and prescription drug abuse, he became erratic.",Montgomery Clift
Q378,how many asian indians live in usa,"Indian Americans are citizens of the United States of Indian ancestry and comprise about 3.18 million people, or ~1.0% of the U.S. population, the country's third largest self-reported Asian ancestral group after Chinese Americans and Filipino Americans according to American Community Survey of 2010 data.",Indian American
Q379,what caused the world war 2,"The main causes of World War II were nationalistic issues, unresolved issues, and resentments resulting from World War I and the interwar period in Europe, in addition to the effects of the Great Depression in the 1930s.",Causes of World War II
Q380,what caused the world war 2,The culmination of events that led to the outbreak of war are generally understood to be the 1939 invasion of Poland by Germany and Soviet Russia and the 1937 invasion of the Republic of China by the Empire of Japan .,Causes of World War II
Q381,what happened to george o'malley on grey's anatomy?,"In 2007, Knight's co-star Isaiah Washington ( Preston Burke ) insulted him with a homophobic slur, which resulted in the termination of Washington's Grey's Anatomy contract.",George O'Malley
Q382,what happened to george o'malley on grey's anatomy?,"In 2009, after the conclusion of the fifth season , it was confirmed that Knight would not be returning for the show's sixth season .",George O'Malley
Q383,what happened to george o'malley on grey's anatomy?,"The actor stated the reason for his departure was due to a ""breakdown in communication"" with Rhimes, his character's lack of screen time, as well as his decision to be openly gay .",George O'Malley
Q384,what happened to george o'malley on grey's anatomy?,"Despite this, his death received mixed feedback.",George O'Malley
Q385,how many people die from myasthenia gravis per year,The disease incidence is 3–30 cases per million per year and rising as a result of increased awareness.,Myasthenia Gravis
Q386,how many rooms in borgata hotel,"The $1.1 billion casino hotel features 2,002 rooms and is the largest hotel in New Jersey .",The Borgata
Q387,what country has the most muslims in the world,"The largest Muslim country is Indonesia , home to 12.7% of the world's Muslims, followed by Pakistan (11.0%), India (10.9%), and Bangladesh (9.2%).",Islam by country
Q388,what country is dubai in,"Dubai ( ; ', ) is a city in the United Arab Emirates , located within the emirate of the same name.",Dubai
Q389,how much of earth is covered ocean water,"Approximately 72% of the planet's surface (~3.6x108 km2) is covered by saline water that is customarily divided into several principal oceans and smaller seas, with the ocean covering approximately 71% of the Earth's surface.",Ocean
Q390,how is root beer made?,"Root beer is a carbonated , sweetened beverage , originally made using the root of a sassafras plant (or the bark of a sassafras tree) as the primary flavor.",Root beer
Q391,how much did yankee stadium cost,"Also controversial was the price tag of $1.5 billion, which makes it not only the most expensive baseball stadium ever built, but the second-most expensive stadium of any kind (after MetLife Stadium in East Rutherford, New Jersey ).",Yankee Stadium
Q392,what does informal logic mean,"Informal logic, intuitively, refers to the principles of logic and logical thought outside of a formal setting.",Informal logic
Q393,what country is turkey in,"Turkey (), officially the Republic of Turkey , is a transcontinental country , located mostly on Anatolia in Western Asia and on East Thrace in Southeastern Europe .",Turkey
Q394,what country is turkey in,"Turkey is bordered by eight countries: Bulgaria to the northwest; Greece to the west; Georgia to the northeast; Armenia , Iran and the Azerbaijani exclave of Nakhchivan to the east; and Iraq and Syria to the southeast.",Turkey
Q395,"what county is Augusta,GA located in?","Augusta is the principal city of the Augusta – Richmond County Metropolitan Statistical Area , which as of 2010 had an estimated population of 556,877, making it both the second-largest city and the second-largest metro area in the state after Atlanta .","Augusta, Georgia"
Q396,"What happened to ""The Glades"" tv series",The show has been renewed for a fourth season.,The Glades (TV series)
Q397,how many albums has eminem sold in his career,"He has sold more than 100 million records worldwide, including 42 million tracks and 49.1 million albums in the United States.",Eminem
Q398,what do pigs eat,Pigs are omnivores and are highly social and intelligent animals.,Pig
Q399,what does a cutter do,"In baseball , a cutter, or cut fastball, is a type of fastball which breaks slightly toward the pitcher 's glove side as it reaches home plate .",Cutter (baseball)
Q400,what it takes aerosmith album,"""What It Takes"" is a power ballad by American hard rock band Aerosmith .",What It Takes (song)
Q401,what it takes aerosmith album,It was released in 1990 as the third single from Aerosmith's critically and commercially successful 1989 album Pump .,What It Takes (song)
Q402,what county is erie colorado,Erie is a Statutory Town in Boulder and Weld counties in the U.S. state of Colorado .,"Erie, Colorado"
Q403,What happened during the Starving Time in Jamestown?,Lack of access to water and a relatively dry rain season crippled the agricultural production of the colonists.,Starving Time
Q404,What happened during the Starving Time in Jamestown?,"A fleet from England, damaged by a hurricane, arrived months behind schedule with new colonists, but without expected food supplies.",Starving Time
Q405,What happened during the Starving Time in Jamestown?,There is scientific evidence that the settlers at Jamestown had turned to cannibalism during the starving time.,Starving Time
Q406,what classes are considered humanities,"The humanities are academic disciplines that study human culture, using methods that are primarily analytical , critical , or speculative , and having a significant historical element, as distinguished from the mainly empirical approaches of the natural sciences .",Humanities
Q407,what classes are considered humanities,"The humanities include ancient and modern languages , literature , philosophy , religion , and visual and performing arts such as music and theatre .",Humanities
Q408,what classes are considered humanities,"The humanities that are also regarded as social sciences include history , anthropology , area studies , communication studies , cultural studies , law , economics and linguistics .",Humanities
